suburb,postcode,lga,crime_totalIncidents,crime_year,crimeLga_ratePer100k,crimeLga_crimeScore,rent_region,rent_period,rent_1brFlat,rent_2brFlat,rent_3brFlat,rent_2brHouse,rent_3brHouse,rent_4brHouse,rent_all,rent_1brFlat_score,rent_2brFlat_score,rent_3brFlat_score,rent_2brHouse_score,rent_3brHouse_score,rent_4brHouse_score,rent_all_score,meanMedianHousePrice,meanMedianUnitPrice,housePriceScore,unitPriceScore
Abbotsford,3067,Yarra,1280,2025,12460.7,-3.0,Inner Melbourne,2025-09-30,520,695,1000,720,950,1200,650,1.7021,2.9,2.9048,2.1429,2.9,1.8421,1.0,1253500.0,,0.886,
Aberfeldie,3040,Moonee Valley,136,2025,6245.9,-1.1451,,,,,,,,,,,,,,,,,2011500.0,,3.0,
Aintree,3336,Melton,343,2025,5388.3,-0.0,,,,,,,,,,,,,,,,,722100.0,,-0.9947,
Airport West,3042,Moonee Valley,849,2025,6245.9,-1.1451,,,,,,,,,,,,,,,,,938420.0,,-0.2291,
Albanvale,3021,Brimbank,188,2025,7366.8,-2.6419,,,,,,,,,,,,,,,,,622600.0,,-1.3468,
Albert Park,3206,Port Phillip,687,2025,11004.1,-3.0,Inner Melbourne,2025-09-30,450,643,825,760,1150,1400,698,0.2128,1.86,1.2381,2.7143,3.0,2.8947,1.96,2204100.0,1153000.0,3.0,3.0
Albion,3020,Brimbank,394,2025,7366.8,-2.6419,,,,,,,,,,,,,,,,,742260.0,315700.0,-0.9233,-2.9492
Alphington,3078,Darebin,407,2025,8504.0,-3.0,North Eastern Melbourne,2025-09-30,400,575,815,650,850,1113,550,-0.8511,0.5,1.1429,1.1429,1.9,1.3842,-1.0,2023660.0,840960.0,3.0,1.8172
Altona,3018,Hobsons Bay,605,2025,6402.7,-1.3545,Outer Western Melbourne,2025-09-30,385,475,550,490,530,580,550,-1.1702,-1.5,-1.381,-1.1429,-1.3,-1.4211,-1.0,1179800.0,689200.0,0.6251,0.4401
Altona Meadows,3028,Hobsons Bay,881,2025,6402.7,-1.3545,,,,,,,,,,,,,,,,,725400.0,571360.0,-0.983,-0.6292
Altona North,3025,Hobsons Bay,1288,2025,6402.7,-1.3545,,,,,,,,,,,,,,,,,917600.0,748760.0,-0.3028,0.9806
Ardeer,3022,Brimbank,275,2025,7366.8,-2.6419,,,,,,,,,,,,,,,,,696320.0,586800.0,-1.0859,-0.4891
Armadale,3143,Stonnington,612,2025,9532.0,-3.0,Inner Melbourne,2025-09-30,450,650,1000,830,1100,1738,625,0.2128,2.0,2.9048,3.0,3.0,3.0,0.5,2455500.0,690600.0,3.0,0.4528
Arthurs Creek,3099,Nillumbik,10,2025,2567.5,3.0,,,,,,,,,,,,,,,,,,,,
Arthurs Seat,3936,Mornington Peninsula,19,2025,5236.7,0.2024,,,,,,,,,,,,,,,,,,,,
Ascot Vale,3032,Moonee Valley,1549,2025,6245.9,-1.1451,North Western Melbourne,2025-09-30,450,550,730,620,750,995,575,0.2128,0.0,0.3333,0.7143,0.9,0.7632,-0.5,1298800.0,519600.0,1.0463,-1.0989
Ashburton,3147,Boroondara,460,2025,4447.7,1.256,Inner Eastern Melbourne,2025-09-30,450,570,720,580,650,878,650,0.2128,0.4,0.2381,0.1429,-0.1,0.1474,1.0,1922000.0,1378500.0,3.0,3.0
Ashwood,3147,Monash,520,2025,5566.4,-0.2378,,,,,,,,,,,,,,,,,1497000.0,1108700.0,1.7477,3.0
Aspendale,3195,Kingston,280,2025,5702.9,-0.4201,Southern Melbourne,2025-09-30,435,545,675,550,680,870,620,-0.1064,-0.1,-0.1905,-0.2857,0.2,0.1053,0.4,1302000.0,884080.0,1.0576,2.2085
Aspendale Gardens,3195,Kingston,137,2025,5702.9,-0.4201,,,,,,,,,,,,,,,,,1229000.0,,0.7993,
Attwood,3049,Hume,112,2025,6346.4,-1.2793,,,,,,,,,,,,,,,,,836360.0,,-0.5903,
Avondale Heights,3034,Moonee Valley,302,2025,6245.9,-1.1451,Outer Western Melbourne,2025-09-30,450,520,623,520,580,768,550,0.2128,-0.6,-0.6857,-0.7143,-0.8,-0.4316,-1.0,975300.0,722100.0,-0.0986,0.7387
Avonsleigh,3782,Cardinia,4,2025,4967.7,0.5616,,,,,,,,,,,,,,,,,,,,
Badger Creek,3777,Yarra Ranges,60,2025,3669.3,2.2954,,,,,,,,,,,,,,,,,669600.0,,-1.1805,
Balaclava,3183,Port Phillip,632,2025,11004.1,-3.0,,,,,,,,,,,,,,,,,1329000.0,553760.0,1.1532,-0.7889
Balnarring,3926,Mornington Peninsula,104,2025,5236.7,0.2024,,,,,,,,,,,,,,,,,1321500.0,,1.1266,
