suburb,lga,ring
Northcote,Darebin,Inner
Fairfield,Darebin,Inner
Brunswick,Merri-bek,Inner
Brunswick East,Merri-bek,Inner
Brunswick West,Merri-bek,Inner
Flemington,Mooney Valley,Inner
Travancore,Mooney Valley,Inner
Ascot Vale,Mooney Valley,Inner
Moonee Ponds,Mooney Valley,Inner
St Kilda East,Port Phillip,Inner
Kooyong,Stonnington,Middle
Glen Iris,Stonnington,Middle
Malvern,Stonnington,Middle
Malvern East,Stonnington,Middle
Ashburton,Stonnington,Middle
Laverton,Wyndham,Middle
Laverton North,Wyndham,Middle
Williams Landing,Wyndham,Middle
Greensborough,Banyule,Middle
Bundoora,Banyule,Middle
Matlock,Yarra Ranges,None
Cambarville,Yarra Ranges,None
Toorongo,Yarra Ranges,None
Reefton,Yarra Ranges,None
McMahons Creek,Yarra Ranges,None
