Suburb,Region,Rating
Abbotsford,Inner Metro,8.3
Aberfeldie,Western,7
Aintree,Western,6
Airport West,Western,8.2
Albanvale,Western,6.9
Albert Park,Inner Metro,8.7
Albion,Western,7.9
Alphington,Northern,9.1
Altona,Western,8.9
Altona Meadows,Western,8.1
Altona North,Western,8.3
Ardeer,Western,6.3
Armadale,Inner South East,8.4
Arthurs Creek,Northern,0.5
Arthurs Seat,Southern,3.3
Ascot Vale,Western,9.3
Ashburton,Inner South East,9.5
Ashwood,Eastern,7.4
Aspendale,Southern,7.6
Aspendale Gardens,Southern,7.7
Attwood,Northern,5.5
Avondale Heights,Western,6.7
Avonsleigh,Southern,3.9
Badger Creek,Eastern,4.4
Balaclava,Inner Metro,9.1
Balnarring,Southern,7.1
Balnarring Beach,Southern,4.1
Balwyn,Inner South East,8.8
Balwyn North,Inner South East,6.8
Bangholme,Southern,0.7
Baxter,Southern,8
Bayles,Southern,0.9
Bayswater,Eastern,8.9
Bayswater North,Eastern,7.7
Beaconsfield,Southern,8.5
Beaconsfield Upper,Southern,5.4
Beaumaris,Inner South East,6.1
Beenak,Eastern,7
Belgrave,Eastern,8
Belgrave Heights,Eastern,4.3
Belgrave South,Eastern,5.2
Bend of Islands,Northern,0.2
Bentleigh,Inner South East,9.4
Bentleigh East,Inner South East,8.8
Berwick,Southern,9.4
Beveridge,Northern,3.7
Big Pats Creek,Eastern,0.5
Bittern,Southern,4.8
Black Rock,Inner South East,7
Blackburn,Eastern,9.2
Blackburn North,Eastern,7.9
Blackburn South,Eastern,6.9
Blairgowrie,Southern,3.4
Blind Bight,Southern,2.5
Bonbeach,Southern,6.3
Boneo,Southern,1.3
Bonnie Brook,Western,1.5
Boronia,Eastern,9.1
Botanic Ridge,Southern,3.2
Box Hill,Eastern,9.3
Box Hill North,Eastern,7.5
Box Hill South,Eastern,7.5
Braeside,Southern,4.2
Braybrook,Western,7.6
Briar Hill,Northern,8
Brighton,Inner South East,8.6
Brighton East,Inner South East,8
Broadmeadows,Northern,8.5
Brookfield,Western,4.7
Brooklyn,Western,6.2
Brunswick,Northern,9.6
Brunswick East,Northern,8.3
Brunswick West,Northern,8.6
Bulla,Northern,3.6
Bulleen,Eastern,7
Bundoora,Northern,8.3
Bunyip,Southern,6.5
Bunyip North,Southern,1
Burnley,Inner Metro,8
Burnside,Western,6.3
Burnside Heights,Western,5.8
Burwood,Eastern,7.4
Burwood East,Eastern,8.4
Cairnlea,Western,6.7
Calder Park,Western,2.9
Caldermeade,Southern,3.6
Cambarville,Eastern,0.5
Camberwell,Inner South East,8.5
Campbellfield,Northern,7.4
Cannons Creek,Southern,1.5
Canterbury,Inner South East,9.1
Cape Schanck,Southern,1.2
Capel Sound,Southern,6.7
Cardinia,Southern,0.5
Carlton,Inner Metro,9.5
Carlton North,Inner Metro,8.6
Carnegie,Inner South East,9.4
Caroline Springs,Western,7.2
Carrum,Southern,7.9
Carrum Downs,Southern,6.6
Catani,Southern,0.5
Caulfield,Inner South East,7.3
Caulfield East,Inner South East,9
Caulfield North,Inner South East,8.6
Caulfield South,Inner South East,8.5
Chadstone,Eastern,8.2
Chelsea,Southern,8.8
Chelsea Heights,Southern,7.7
Cheltenham,Southern,9.5
Chirnside Park,Eastern,7.1
Christmas Hills,Northern,0.8
Chum Creek,Eastern,0.1
Clarinda,Southern,7.4
Clarkefield,Northern,4
Clayton,Eastern,7.5
Clayton South,Southern,6.3
Clematis,Southern,5.1
Clifton Hill,Inner Metro,8.5
Clyde,Southern,5.6
Clyde North,Southern,7.2
Cobblebank,Western,6.2
Coburg,Northern,9.5
Coburg North,Northern,8.6
Cockatoo,Southern,4.9
Cocoroc,Western,0.5
Coldstream,Eastern,5.4
Collingwood,Inner Metro,9.3
Coolaroo,Northern,6.8
Cora Lynn,Southern,0.5
Cottles Bridge,Northern,0.3
Craigieburn,Northern,7.5
Cranbourne,Southern,8.9
Cranbourne East,Southern,5.6
Cranbourne North,Southern,6.6
Cranbourne South,Southern,2.6
Cranbourne West,Southern,6.8
Cremorne,Inner Metro,9.4
Crib Point,Southern,5.7
Croydon,Eastern,8.9
Croydon Hills,Eastern,5.2
Croydon North,Eastern,7.6
Croydon South,Eastern,6.2
Dallas,Northern,7.8
Dalmore,Southern,0.6
Dandenong,Southern,8.4
Dandenong North,Southern,7
Dandenong South,Southern,4.9
Deanside,Western,2.7
Deepdene,Inner South East,7.5
Deer Park,Western,7
Delahey,Western,6.4
Derrimut,Western,5.3
Devon Meadows,Southern,3.7
Dewhurst,Southern,0.3
Diamond Creek,Northern,8.4
Diggers Rest,Western,5
Dingley Village,Southern,6
Dixons Creek,Eastern,0.9
Docklands,Inner Metro,9.2
Don Valley,Eastern,0.7
Doncaster,Eastern,8.4
Doncaster East,Eastern,7.6
Donnybrook,Northern,5.9
Donvale,Eastern,7
Doreen,Northern,8.2
Doveton,Southern,7
Dromana,Southern,6
Eaglemont,Northern,7.1
East Melbourne,Inner Metro,9.1
East Warburton,Eastern,1.6
Eden Park,Northern,0.6
Edithvale,Southern,9
Elsternwick,Inner South East,9.3
Eltham,Northern,8.8
Eltham North,Northern,5.1
Elwood,Inner Metro,8.5
Emerald,Southern,9.2
Endeavour Hills,Southern,8.4
Epping,Northern,6.2
Essendon,Western,8.8
Essendon Fields,Western,7.7
Essendon North,Western,7.4
Essendon West,Western,6.5
Eumemmerring,Southern,7.3
Exford,Western,0.4
Eynesbury,Western,2.7
Fairfield,Northern,8.4
Fawkner,Northern,8.2
Fernshaw,Eastern,5
Ferntree Gully,Eastern,8.7
Ferny Creek,Eastern,4.3
Fieldstone,Western,2.2
Fingal,Southern,1.2
Fitzroy,Inner Metro,9.1
Fitzroy North,Inner Metro,9
Flemington,Western,8.8
Flinders,Southern,4.5
Footscray,Western,8.9
Forest Hill,Eastern,8.1
Frankston,Southern,8.1
Frankston North,Southern,7.6
Frankston South,Southern,6.8
Fraser Rise,Western,6.2
Gardenvale,Inner South East,8.9
Garfield,Southern,6.2
Garfield North,Southern,1.4
Gembrook,Southern,4.5
Gilderoy,Eastern,0.2
Gladstone Park,Northern,6.8
Gladysdale,Eastern,0.7
Glen Huntly,Inner South East,9.4
Glen Iris,Inner South East,8
Glen Waverley,Eastern,9
Glenroy,Northern,9.7
Gowanbrae,Northern,6.7
Grangefields,Western,1.1
Greensborough,Northern,9.4
Greenvale,Northern,7.8
Gruyere,Eastern,0.5
Guys Hill,Southern,2.9
HMAS Cerberus,Southern,6.3
Hadfield,Northern,7.4
Hallam,Southern,8.3
Hampton,Inner South East,9.5
Hampton East,Inner South East,7.7
Hampton Park,Southern,9.3
Harkaway,Southern,2.9
Harkness,Western,5.4
Hastings,Southern,8.8
Hawthorn,Inner South East,9.8
Hawthorn East,Inner South East,8.5
Healesville,Eastern,9
Heath Hill,Southern,0.1
Heatherton,Southern,6.2
Heathmont,Eastern,8.7
Heidelberg,Northern,8.1
Heidelberg Heights,Northern,7.4
