suburb,postcode,lga,crime_totalIncidents,crime_year,crime_offence1,crime_offence1_proportion,crime_offence2,crime_offence2_proportion,crime_offence3,crime_offence3_proportion,crime_offence4,crime_offence4_proportion,crime_offence5,crime_offence5_proportion,crimeLga_ratePer100k,crimeLga_melbourneRank,crimeLga_melbourneRankPercentile,rent_region,rent_period,rent_1brFlat,rent_2brFlat,rent_3brFlat,rent_2brHouse,rent_3brHouse,rent_4brHouse,rent_all,rent_1brFlat_rank,rent_2brFlat_rank,rent_3brFlat_rank,rent_2brHouse_rank,rent_3brHouse_rank,rent_4brHouse_rank,rent_all_rank,rent_1brFlat_percentile,rent_2brFlat_percentile,rent_3brFlat_percentile,rent_2brHouse_percentile,rent_3brHouse_percentile,rent_4brHouse_percentile,rent_all_percentile
Abbotsford,3067,Yarra,1280,2025,B42 Steal from a motor vehicle,0.1406,B49 Other theft,0.1164,B43 Steal from a retail store,0.1141,B21 Criminal damage,0.0766,B322 Non-residential non-aggravated burglary,0.0578,12460.7,2,96.8,Inner Melbourne,2025-09-30,520,695,1000,720,950,1200,650,8,6,6,12,9,13,17,92.2,94.9,94.9,88.7,91.8,87.4,84.0
Aintree,3336,Melton,343,2025,B42 Steal from a motor vehicle,0.1778,B49 Other theft,0.1283,B41 Motor vehicle theft,0.0875,E21 Breach family violence order,0.0816,B321 Residential non-aggravated burglary,0.0787,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Albanvale,3021,Brimbank,188,2025,B42 Steal from a motor vehicle,0.25,B21 Criminal damage,0.1011,B49 Other theft,0.0745,E21 Breach family violence order,0.0745,A231 FV Common assault,0.0691,7366.8,9,74.2,,,,,,,,,,,,,,,,,,,,,,,
Albert Park,3206,Port Phillip,687,2025,B42 Steal from a motor vehicle,0.3261,B49 Other theft,0.1295,B41 Motor vehicle theft,0.0771,B322 Non-residential non-aggravated burglary,0.0524,B44 Theft of a bicycle,0.0466,11004.1,3,93.5,Inner Melbourne,2025-09-30,450,643,825,760,1150,1400,698,18,12,15,7,2,6,9,81.1,88.9,85.9,93.8,99.0,94.7,92.0
Albion,3020,Brimbank,394,2025,B42 Steal from a motor vehicle,0.2589,B21 Criminal damage,0.1117,B49 Other theft,0.0838,B41 Motor vehicle theft,0.0736,B321 Residential non-aggravated burglary,0.0558,7366.8,9,74.2,,,,,,,,,,,,,,,,,,,,,,,
Alphington,3078,Darebin,407,2025,B42 Steal from a motor vehicle,0.2457,B43 Steal from a retail store,0.2187,B49 Other theft,0.0762,B322 Non-residential non-aggravated burglary,0.059,B41 Motor vehicle theft,0.059,8504.0,8,77.4,North Eastern Melbourne,2025-09-30,400,575,815,650,850,1113,550,26,23,16,21,14,17,30,72.2,77.8,84.8,79.4,86.7,83.2,71.0
Altona,3018,Hobsons Bay,605,2025,B49 Other theft,0.124,B42 Steal from a motor vehicle,0.1025,B21 Criminal damage,0.0694,E21 Breach family violence order,0.0694,B43 Steal from a retail store,0.0645,6402.7,10,71.0,Outer Western Melbourne,2025-09-30,385,475,550,490,530,580,550,28,39,50,41,43,59,30,70.0,61.6,50.5,58.8,57.1,38.9,71.0
Altona Meadows,3028,Hobsons Bay,881,2025,B42 Steal from a motor vehicle,0.1396,B49 Other theft,0.1294,B43 Steal from a retail store,0.1135,E21 Breach family violence order,0.0851,B21 Criminal damage,0.0647,6402.7,10,71.0,,,,,,,,,,,,,,,,,,,,,,,
Altona North,3025,Hobsons Bay,1288,2025,B42 Steal from a motor vehicle,0.1933,B43 Steal from a retail store,0.1242,B49 Other theft,0.1087,B41 Motor vehicle theft,0.066,B21 Criminal damage,0.0644,6402.7,10,71.0,,,,,,,,,,,,,,,,,,,,,,,
Ardeer,3022,Brimbank,275,2025,B42 Steal from a motor vehicle,0.1964,B49 Other theft,0.1418,B21 Criminal damage,0.0982,B41 Motor vehicle theft,0.0618,B53 Obtain benefit by deception,0.0473,7366.8,9,74.2,,,,,,,,,,,,,,,,,,,,,,,
Armadale,3143,Stonnington,612,2025,B42 Steal from a motor vehicle,0.2582,B321 Residential non-aggravated burglary,0.0948,B49 Other theft,0.0866,B322 Non-residential non-aggravated burglary,0.067,B41 Motor vehicle theft,0.0654,9532.0,6,83.9,Inner Melbourne,2025-09-30,450,650,1000,830,1100,1738,625,18,11,6,3,3,2,20,81.1,89.9,94.9,97.9,98.0,98.9,81.0
